처방의사명,KTAS,진료구분,검사시행_환자수
홍O우,3,O,412
전O람,3,O,360
홍O우,3,I,321
정O익,3,I,299
전O람,3,I,295
정O택,3,O,287
정O익,3,O,277
양O일,3,O,255
정O택,3,I,245
양O일,3,I,222
도O수,3,I,204
주O혁,3,O,202
도O수,3,O,196
주O혁,3,I,186
홍O우,4,O,97
전O람,4,O,81
최O휘,3,O,81
정O택,4,O,78
양O일,4,O,77
도O수,4,O,74
정O익,4,O,65
주O혁,4,O,39
전O람,2,I,39
최O휘,3,I,37
홍O우,2,I,35
오O호,3,O,32
주O혁,2,I,30
정O익,2,I,30
양O일,2,I,30
정O택,2,I,28
최O휘,4,O,26
도O수,2,I,20
오O호,3,I,18
정O익,4,I,16
홍O우,2,O,15
전O람,4,I,14
오O호,4,O,14
김O경,3,O,13
홍O우,4,I,13
전O람,2,O,11
도O수,2,O,11
전O은,3,O,10
백O기,3,O,10
정O은,3,O,9
도O수,4,I,8
양O일,4,I,8
정O택,4,I,8
정O택,2,O,8
김O숙,3,I,8
이O슬,3,O,7
정O익,2,O,6
박O임,3,O,6
최O은,3,O,6
유O내,3,O,5
정O진,3,O,5
전O은,3,I,5
김O숙,3,O,5
최O은,4,O,5
양O일,2,O,5
최O은,3,I,5
천O림,3,O,5
정O진,4,O,5
김O현,3,O,4
홍O우,1,O,4
도O수,5,O,4
홍O우,5,O,4
박O지,3,O,4
이O슬,4,O,3
정O은,4,O,3
유O내,3,I,3
엄O진,3,I,3
김O경,3,I,3
주O혁,1,I,2
주O혁,1,O,2
주O혁,2,O,2
주O혁,4,I,2
홍O우,1,I,2
최O은,2,I,2
최O휘,2,I,2
주O혁,5,O,2
최O휘,4,I,2
전O람,5,O,2
전O람,5,I,2
전O은,4,O,2
양O일,5,O,2
신O라,3,I,2
손O지,3,O,2
백O기,3,I,2
엄O진,3,O,2
박O지,3,I,2
정O택,1,O,2
김O경,4,O,2
정O익,5,O,2
오O호,5,O,1
백O기,4,O,1
신O라,2,I,1
신O라,3,O,1
양O일,1,O,1
김O숙,2,O,1
정O진,5,O,1
유O내,4,O,1
유O내,2,I,1
유O내,2,O,1
정O진,3,I,1
유O내,5,O,1
이O슬,3,I,1
천O림,4,O,1
전O람,1,I,1
천O림,3,I,1
전O람,1,O,1
김O숙,2,I,1
정O택,1,I,1
정O택,5,O,1
정O진,2,O,1
홍O우,8,O,1
