처방의사명,KTAS,진료구분,검사시행_환자수
이O한,3,O,378
류O우,3,O,345
안O찬,3,O,344
김O동,3,O,331
민O규,3,O,326
최O혁,3,O,319
송O혁,3,O,318
박O욱,3,O,315
김O동,3,I,303
양O석,3,O,283
송O혁,3,I,236
류O우,3,I,235
양O석,3,I,225
이O한,3,I,223
한O홍,3,O,216
민O규,3,I,214
최O혁,3,I,209
안O찬,3,I,209
박O욱,3,I,185
한O홍,3,I,166
민O규,4,O,125
송O혁,4,O,119
김O동,4,O,116
류O우,4,O,114
최O혁,4,O,108
이O한,4,O,107
양O석,4,O,96
안O찬,4,O,79
한O홍,4,O,63
박O욱,4,O,59
김O동,2,I,52
안O찬,2,I,46
송O혁,2,I,40
최O혁,2,I,35
박O욱,2,I,35
민O규,2,I,32
류O우,2,I,31
양O석,2,I,30
안O찬,2,O,29
이O한,2,I,28
최O혁,2,O,21
한O홍,2,I,21
류O우,2,O,18
송O혁,2,O,14
송O혁,5,O,13
김O동,2,O,11
박O욱,2,O,10
양O석,2,O,10
김O동,4,I,9
안O찬,5,O,9
이O한,2,O,8
민O규,2,O,8
송O혁,4,I,7
최O혁,1,O,7
양O석,5,O,7
안O찬,1,I,7
최O혁,1,I,6
양O석,4,I,6
류O우,4,I,6
안O찬,1,O,5
송O혁,1,O,5
송O혁,1,I,5
박O욱,1,O,5
최O혁,5,O,4
김O동,1,I,4
이O한,1,O,4
김O동,5,O,4
류O우,1,I,4
류O우,1,O,4
민O규,5,O,4
이O한,1,I,4
박O욱,5,O,3
한O홍,4,I,3
한O홍,2,O,3
한O홍,5,O,3
조O린,3,O,3
이O한,4,I,3
박O욱,4,I,2
민O규,4,I,2
최O혁,4,I,2
민O규,1,I,2
이O한,5,O,2
안O찬,4,I,2
양O석,1,I,2
양O석,1,O,2
송O혁,5,I,1
조O린,3,I,1
조O린,2,O,1
민O규,1,O,1
류O우,5,O,1
박O욱,1,I,1
